benchmark,score,occluder_type,visibility,metric
ImageNet-Occluded,0.3756768630475414,filled_ellipses,0.8,accuracy
ImageNet-Occluded,0.5419681218205666,filled_ellipses,0.9,accuracy
ImageNet-Occluded,0.0016225903694118,horizontal_bars_04,0.1,accuracy
ImageNet-Occluded,0.0034162765939016,horizontal_bars_04,0.2,accuracy
ImageNet-Occluded,0.007112323116435,horizontal_bars_04,0.3,accuracy
ImageNet-Occluded,0.0239703413859313,horizontal_bars_04,0.4,accuracy
ImageNet-Occluded,0.0604017255257587,horizontal_bars_04,0.5,accuracy
ImageNet-Occluded,0.1217623400140781,horizontal_bars_04,0.6,accuracy
ImageNet-Occluded,0.2169348798236068,horizontal_bars_04,0.7,accuracy
ImageNet-Occluded,0.3425760196179759,horizontal_bars_04,0.8,accuracy
ImageNet-Occluded,0.5091925482360684,horizontal_bars_04,0.9,accuracy
ImageNet-Occluded,0.0011160714285714,vertical_bars_04,0.1,accuracy
ImageNet-Occluded,0.0027427981816688,vertical_bars_04,0.2,accuracy
ImageNet-Occluded,0.0075184407510927,vertical_bars_04,0.3,accuracy
ImageNet-Occluded,0.0306366872118443,vertical_bars_04,0.4,accuracy
ImageNet-Occluded,0.0724566507400298,vertical_bars_04,0.5,accuracy
ImageNet-Occluded,0.1379517681744634,vertical_bars_04,0.6,accuracy
ImageNet-Occluded,0.235984805287147,vertical_bars_04,0.7,accuracy
ImageNet-Occluded,0.3460727674620492,vertical_bars_04,0.8,accuracy
ImageNet-Occluded,0.4602907202681716,vertical_bars_04,0.9,accuracy
ImageNet-Occluded,0.0012239934306363,oblique_bars_04,0.1,accuracy
ImageNet-Occluded,0.0022603454714526,oblique_bars_04,0.2,accuracy
ImageNet-Occluded,0.0042616029327013,oblique_bars_04,0.3,accuracy
ImageNet-Occluded,0.0110700898898803,oblique_bars_04,0.4,accuracy
ImageNet-Occluded,0.0339773807446567,oblique_bars_04,0.5,accuracy
ImageNet-Occluded,0.0761714989737588,oblique_bars_04,0.6,accuracy
ImageNet-Occluded,0.1362438180616923,oblique_bars_04,0.7,accuracy
ImageNet-Occluded,0.235561766186539,oblique_bars_04,0.8,accuracy
ImageNet-Occluded,0.3825887593687797,oblique_bars_04,0.9,accuracy
ImageNet-Occluded,0.0017978226081753,cardinal_crossed_bars,0.1,accuracy
ImageNet-Occluded,0.0021524234693877,cardinal_crossed_bars,0.2,accuracy
ImageNet-Occluded,0.0021009066959424,cardinal_crossed_bars,0.3,accuracy
ImageNet-Occluded,0.0028383110326771,cardinal_crossed_bars,0.4,accuracy
ImageNet-Occluded,0.0052671201185,cardinal_crossed_bars,0.5,accuracy
ImageNet-Occluded,0.0150842618919452,cardinal_crossed_bars,0.6,accuracy
ImageNet-Occluded,0.0583970837903266,cardinal_crossed_bars,0.7,accuracy
ImageNet-Occluded,0.1429165565237707,cardinal_crossed_bars,0.8,accuracy
ImageNet-Occluded,0.2805983314708787,cardinal_crossed_bars,0.9,accuracy
ImageNet-Occluded,0.0014232919000241,oblique_crossed_bars,0.1,accuracy
ImageNet-Occluded,0.0011841337367588,oblique_crossed_bars,0.2,accuracy
ImageNet-Occluded,0.0015387345979712,oblique_crossed_bars,0.3,accuracy
ImageNet-Occluded,0.0018534757653061,oblique_crossed_bars,0.4,accuracy
ImageNet-Occluded,0.0027510709490398,oblique_crossed_bars,0.5,accuracy
ImageNet-Occluded,0.0093925984348265,oblique_crossed_bars,0.6,accuracy
ImageNet-Occluded,0.0261118598282337,oblique_crossed_bars,0.7,accuracy
ImageNet-Occluded,0.084420199448965,oblique_crossed_bars,0.8,accuracy
ImageNet-Occluded,0.1787116895524823,oblique_crossed_bars,0.9,accuracy
ImageNet-Occluded,0.0020727040816326,mud_splash,0.1,accuracy
ImageNet-Occluded,0.0044409715551502,mud_splash,0.2,accuracy
ImageNet-Occluded,0.0085555448633979,mud_splash,0.3,accuracy
ImageNet-Occluded,0.0195417789628311,mud_splash,0.4,accuracy
ImageNet-Occluded,0.0359455471744342,mud_splash,0.5,accuracy
ImageNet-Occluded,0.0663727829042746,mud_splash,0.6,accuracy
ImageNet-Occluded,0.1174037201063973,mud_splash,0.7,accuracy
ImageNet-Occluded,0.23349921496547,mud_splash,0.8,accuracy
ImageNet-Occluded,0.4070878059280162,mud_splash,0.9,accuracy
ImageNet-Occluded,0.0009566326530612,polkadot,0.1,accuracy
ImageNet-Occluded,0.0009806988836855,polkadot,0.2,accuracy
ImageNet-Occluded,0.0010089014979953,polkadot,0.3,accuracy
ImageNet-Occluded,0.0009889716510565,polkadot,0.4,accuracy
ImageNet-Occluded,0.0022163493938896,polkadot,0.5,accuracy
ImageNet-Occluded,0.3062638378873163,polkasquare,0.9,accuracy
ImageNet-Occluded,0.0011202078122569,polkasquare,0.2,accuracy
ImageNet-Occluded,0.1077509055636367,polkasquare,0.8,accuracy
ImageNet-Occluded,0.0009964923469387,polkasquare,0.1,accuracy
ImageNet-Occluded,0.0386477335527235,polkasquare,0.7,accuracy
ImageNet-Occluded,0.0013593659755222,polkasquare,0.3,accuracy
ImageNet-Occluded,0.0146349002512133,polkasquare,0.6,accuracy
ImageNet-Occluded,0.0082317788572031,polkasquare,0.5,accuracy
ImageNet-Occluded,0.0022362792408283,polkasquare,0.4,accuracy
ImageNet-Occluded,0.2483890667861821,polkadot,0.9,accuracy
ImageNet-Occluded,0.1025774180889129,polkadot,0.8,accuracy
ImageNet-Occluded,0.0294566898017513,polkadot,0.7,accuracy
ImageNet-Occluded,0.0040540316959424,polkadot,0.6,accuracy
ImageNet-Occluded,0.0024039907837096,horizontal_bars_02,0.1,accuracy
ImageNet-Occluded,0.0135105560552708,horizontal_bars_02,0.2,accuracy
ImageNet-Occluded,0.0575201705250204,horizontal_bars_02,0.3,accuracy
ImageNet-Occluded,0.1402470849606455,horizontal_bars_02,0.4,accuracy
ImageNet-Occluded,0.2344235084494766,horizontal_bars_02,0.5,accuracy
ImageNet-Occluded,0.3313919907929946,horizontal_bars_02,0.6,accuracy
ImageNet-Occluded,0.4147404906701069,horizontal_bars_02,0.7,accuracy
ImageNet-Occluded,0.4889622494882467,horizontal_bars_02,0.8,accuracy
ImageNet-Occluded,0.579943128994533,horizontal_bars_02,0.9,accuracy
ImageNet-Occluded,0.0015146683673469,horizontal_bars_08,0.1,accuracy
ImageNet-Occluded,0.0022005559306363,horizontal_bars_08,0.2,accuracy
ImageNet-Occluded,0.003081605579628,horizontal_bars_08,0.3,accuracy
ImageNet-Occluded,0.0053536081306484,horizontal_bars_08,0.4,accuracy
ImageNet-Occluded,0.0108824485000603,horizontal_bars_08,0.5,accuracy
ImageNet-Occluded,0.0310702553513098,horizontal_bars_08,0.6,accuracy
ImageNet-Occluded,0.1169017136705165,horizontal_bars_08,0.7,accuracy
ImageNet-Occluded,0.2908524262661837,horizontal_bars_08,0.8,accuracy
ImageNet-Occluded,0.4476029282929946,horizontal_bars_08,0.9,accuracy
ImageNet-Occluded,0.0017662356816688,horizontal_bars_16,0.1,accuracy
ImageNet-Occluded,0.0026232191000361,horizontal_bars_16,0.2,accuracy
ImageNet-Occluded,0.003448615591897,horizontal_bars_16,0.3,accuracy
ImageNet-Occluded,0.0048628826530612,horizontal_bars_16,0.4,accuracy
ImageNet-Occluded,0.0107079683327857,horizontal_bars_16,0.5,accuracy
ImageNet-Occluded,0.0377666839227384,horizontal_bars_16,0.6,accuracy
ImageNet-Occluded,0.0994262461151395,horizontal_bars_16,0.7,accuracy
ImageNet-Occluded,0.2236324366258115,horizontal_bars_16,0.8,accuracy
ImageNet-Occluded,0.3378695669222851,horizontal_bars_16,0.9,accuracy
ImageNet-Occluded,0.0015744579081632,oblique_bars_02,0.1,accuracy
ImageNet-Occluded,0.0068923427286196,oblique_bars_02,0.2,accuracy
ImageNet-Occluded,0.0554399457665122,oblique_bars_02,0.3,accuracy
ImageNet-Occluded,0.1673129453342788,oblique_bars_02,0.4,accuracy
ImageNet-Occluded,0.2835904408474358,oblique_bars_02,0.5,accuracy
ImageNet-Occluded,0.3826338837341386,oblique_bars_02,0.6,accuracy
ImageNet-Occluded,0.4601775334805858,oblique_bars_02,0.7,accuracy
ImageNet-Occluded,0.4899564853736332,oblique_bars_02,0.8,accuracy
ImageNet-Occluded,0.563184384180575,oblique_bars_02,0.9,accuracy
ImageNet-Occluded,0.0012198570469508,oblique_bars_08,0.1,accuracy
ImageNet-Occluded,0.0012796465877671,oblique_bars_08,0.2,accuracy
ImageNet-Occluded,0.001961397767371,oblique_bars_08,0.3,accuracy
ImageNet-Occluded,0.0027386617979833,oblique_bars_08,0.4,accuracy
ImageNet-Occluded,0.0042018133918849,oblique_bars_08,0.5,accuracy
ImageNet-Occluded,0.0117834279959907,oblique_bars_08,0.6,accuracy
ImageNet-Occluded,0.0440757966467312,oblique_bars_08,0.7,accuracy
ImageNet-Occluded,0.1345456446311911,oblique_bars_08,0.8,accuracy
ImageNet-Occluded,0.294874118907111,oblique_bars_08,0.9,accuracy
ImageNet-Occluded,0.0013552295918367,oblique_bars_16,0.1,accuracy
ImageNet-Occluded,0.0015992762102764,oblique_bars_16,0.2,accuracy
ImageNet-Occluded,0.00155866444491,oblique_bars_16,0.3,accuracy
ImageNet-Occluded,0.0017023097571669,oblique_bars_16,0.4,accuracy
ImageNet-Occluded,0.0022968208531335,oblique_bars_16,0.5,accuracy
ImageNet-Occluded,0.005831924457179,oblique_bars_16,0.6,accuracy
ImageNet-Occluded,0.0218577776104211,oblique_bars_16,0.7,accuracy
ImageNet-Occluded,0.099292377732238,oblique_bars_16,0.8,accuracy
ImageNet-Occluded,0.2601864082472665,oblique_bars_16,0.9,accuracy
ImageNet-Occluded,0.0020651833857504,vertical_bars_02,0.1,accuracy
ImageNet-Occluded,0.0145021599470352,vertical_bars_02,0.2,accuracy
ImageNet-Occluded,0.0681251053299222,vertical_bars_02,0.3,accuracy
ImageNet-Occluded,0.1636943619470207,vertical_bars_02,0.4,accuracy
ImageNet-Occluded,0.2677695270703763,vertical_bars_02,0.5,accuracy
ImageNet-Occluded,0.3598758785092101,vertical_bars_02,0.6,accuracy
ImageNet-Occluded,0.4282807537487575,vertical_bars_02,0.7,accuracy
ImageNet-Occluded,0.4866778376151104,vertical_bars_02,0.8,accuracy
ImageNet-Occluded,0.5699928707006027,vertical_bars_02,0.9,accuracy
ImageNet-Occluded,0.0015345982142857,vertical_bars_08,0.1,accuracy
ImageNet-Occluded,0.0014191555163385,vertical_bars_08,0.2,accuracy
ImageNet-Occluded,0.0012954400510204,vertical_bars_08,0.3,accuracy
ImageNet-Occluded,0.0019771912306243,vertical_bars_08,0.4,accuracy
ImageNet-Occluded,0.0039901057714406,vertical_bars_08,0.5,accuracy
ImageNet-Occluded,0.0177879524322188,vertical_bars_08,0.6,accuracy
ImageNet-Occluded,0.1026830838955178,vertical_bars_08,0.7,accuracy
ImageNet-Occluded,0.2163106619703526,vertical_bars_08,0.8,accuracy
ImageNet-Occluded,0.3893532503624352,vertical_bars_08,0.9,accuracy
ImageNet-Occluded,0.0011799973530732,vertical_bars_16,0.1,accuracy
ImageNet-Occluded,0.0014830814408404,vertical_bars_16,0.2,accuracy
ImageNet-Occluded,0.0015985241387875,vertical_bars_16,0.3,accuracy
ImageNet-Occluded,0.0022520727040816,vertical_bars_16,0.4,accuracy
ImageNet-Occluded,0.0063267863184517,vertical_bars_16,0.5,accuracy
ImageNet-Occluded,0.0326323040894099,vertical_bars_16,0.6,accuracy
ImageNet-Occluded,0.088791228526709,vertical_bars_16,0.7,accuracy
ImageNet-Occluded,0.1844879607765042,vertical_bars_16,0.8,accuracy
ImageNet-Occluded,0.2953238566311038,vertical_bars_16,0.9,accuracy
ImageNet-Occluded,0.0018576121489916,coarse_noise,0.1,accuracy
ImageNet-Occluded,0.0035241985959666,coarse_noise,0.2,accuracy
ImageNet-Occluded,0.0069164089592439,coarse_noise,0.3,accuracy
ImageNet-Occluded,0.0174773476865826,coarse_noise,0.4,accuracy
ImageNet-Occluded,0.0459319045957253,coarse_noise,0.5,accuracy
ImageNet-Occluded,0.0973302277983451,coarse_noise,0.6,accuracy
ImageNet-Occluded,0.1858292772453658,coarse_noise,0.7,accuracy
ImageNet-Occluded,0.3090991408241038,coarse_noise,0.8,accuracy
ImageNet-Occluded,0.5193530102165378,coarse_noise,0.9,accuracy
ImageNet-Occluded,0.0009765625,fine_oriented_noise,0.1,accuracy
ImageNet-Occluded,0.001782029144922,fine_oriented_noise,0.2,accuracy
ImageNet-Occluded,0.0022404156245139,fine_oriented_noise,0.3,accuracy
ImageNet-Occluded,0.0029462330347421,fine_oriented_noise,0.4,accuracy
ImageNet-Occluded,0.0049956229572393,fine_oriented_noise,0.5,accuracy
ImageNet-Occluded,0.0147413181103005,fine_oriented_noise,0.6,accuracy
ImageNet-Occluded,0.0648648831613209,fine_oriented_noise,0.7,accuracy
ImageNet-Occluded,0.2047201398075843,fine_oriented_noise,0.8,accuracy
ImageNet-Occluded,0.4250806971472137,fine_oriented_noise,0.9,accuracy
ImageNet-Occluded,0.0012796465877671,fine_noise,0.1,accuracy
ImageNet-Occluded,0.0015594165163988,fine_noise,0.2,accuracy
ImageNet-Occluded,0.001953125,fine_noise,0.3,accuracy
ImageNet-Occluded,0.0032767676653302,fine_noise,0.4,accuracy
ImageNet-Occluded,0.0057247545266029,fine_noise,0.5,accuracy
ImageNet-Occluded,0.0155426483715371,fine_noise,0.6,accuracy
ImageNet-Occluded,0.0521722029210353,fine_noise,0.7,accuracy
ImageNet-Occluded,0.1600990927949243,fine_noise,0.8,accuracy
ImageNet-Occluded,0.3495499613333721,fine_noise,0.9,accuracy
ImageNet-Occluded,0.0020610470020649,pink_noise,0.1,accuracy
ImageNet-Occluded,0.0048437048776113,pink_noise,0.2,accuracy
ImageNet-Occluded,0.0138128880715491,pink_noise,0.3,accuracy
ImageNet-Occluded,0.0283315935533265,pink_noise,0.4,accuracy
ImageNet-Occluded,0.0589908428338109,pink_noise,0.5,accuracy
ImageNet-Occluded,0.1190135253935444,pink_noise,0.6,accuracy
ImageNet-Occluded,0.2034946424620492,pink_noise,0.7,accuracy
ImageNet-Occluded,0.3441192665878607,pink_noise,0.8,accuracy
ImageNet-Occluded,0.500801330926467,pink_noise,0.9,accuracy
ImageNet-Occluded,0.001594387755102,patch_drop,0.1,accuracy
ImageNet-Occluded,0.0019929846938775,patch_drop,0.2,accuracy
ImageNet-Occluded,0.0038265306122448,patch_drop,0.3,accuracy
ImageNet-Occluded,0.0089086415816326,patch_drop,0.4,accuracy
ImageNet-Occluded,0.0203523596948278,patch_drop,0.5,accuracy
ImageNet-Occluded,0.0470503826568625,patch_drop,0.6,accuracy
ImageNet-Occluded,0.1263871173545414,patch_drop,0.7,accuracy
ImageNet-Occluded,0.2848214286626602,patch_drop,0.8,accuracy
ImageNet-Occluded,0.4850406569181656,patch_drop,0.9,accuracy
