benchmark,metric,score,occluder_type,visibility
ImageNet-Occluded,accuracy,0.4809587232920588,oblique_bars_16,0.9
ImageNet-Occluded,accuracy,0.0019373315367467,vertical_bars_02,0.1
ImageNet-Occluded,accuracy,0.0180643380676605,vertical_bars_02,0.2
ImageNet-Occluded,accuracy,0.0806914379402082,vertical_bars_02,0.3
ImageNet-Occluded,accuracy,0.1734355447851881,vertical_bars_02,0.4
ImageNet-Occluded,accuracy,0.2763645551642593,vertical_bars_02,0.5
ImageNet-Occluded,accuracy,0.3825331062686686,vertical_bars_02,0.6
ImageNet-Occluded,accuracy,0.456999663187533,vertical_bars_02,0.7
ImageNet-Occluded,accuracy,0.5698323030861057,vertical_bars_02,0.8
ImageNet-Occluded,accuracy,0.6309695535776566,vertical_bars_02,0.9
ImageNet-Occluded,accuracy,0.0018376823020528,vertical_bars_04,0.1
ImageNet-Occluded,accuracy,0.0035042687490278,vertical_bars_04,0.2
ImageNet-Occluded,accuracy,0.0188152796531818,vertical_bars_04,0.3
ImageNet-Occluded,accuracy,0.0915490680811356,vertical_bars_04,0.4
ImageNet-Occluded,accuracy,0.2528928360160516,vertical_bars_04,0.5
ImageNet-Occluded,accuracy,0.4227222064319922,vertical_bars_04,0.6
ImageNet-Occluded,accuracy,0.5462116745053506,vertical_bars_04,0.7
ImageNet-Occluded,accuracy,0.5924304942695462,vertical_bars_04,0.8
ImageNet-Occluded,accuracy,0.6230453715032461,vertical_bars_04,0.9
ImageNet-Occluded,accuracy,0.0011243441959424,vertical_bars_08,0.1
ImageNet-Occluded,accuracy,0.0057446843735417,vertical_bars_08,0.2
ImageNet-Occluded,accuracy,0.1104482035247647,vertical_bars_08,0.3
ImageNet-Occluded,accuracy,0.3119351955092683,vertical_bars_08,0.4
ImageNet-Occluded,accuracy,0.437248808997018,vertical_bars_08,0.5
ImageNet-Occluded,accuracy,0.5166237488084909,vertical_bars_08,0.6
ImageNet-Occluded,accuracy,0.5718252877799832,vertical_bars_08,0.7
ImageNet-Occluded,accuracy,0.6044786499471081,vertical_bars_08,0.8
ImageNet-Occluded,accuracy,0.6290863703708259,vertical_bars_08,0.9
ImageNet-Occluded,accuracy,0.0026788722571669,vertical_bars_16,0.1
ImageNet-Occluded,accuracy,0.0055412495204684,vertical_bars_16,0.2
ImageNet-Occluded,accuracy,0.0193349598165677,vertical_bars_16,0.3
