subject,metric_sim,value
sub-00,Pearson R,-0.6306410648003496
sub-01,Pearson R,-0.5422022715894225
sub-02,Pearson R,-0.8048700582565688
sub-03,Pearson R,-0.7543401501646424
sub-04,Pearson R,-0.8079846906795284
sub-05,Pearson R,-0.6215615616215473
sub-06,Pearson R,-0.5850058108040156
sub-07,Pearson R,-0.44967183097735614
sub-08,Pearson R,-0.69028923636156
sub-09,Pearson R,-0.6049791035718133
sub-10,Pearson R,-0.5662328182273278
sub-11,Pearson R,-0.600608831113732
sub-12,Pearson R,-0.8844050250056327
sub-13,Pearson R,-0.7156564682121184
sub-14,Pearson R,-0.7701772701837062
sub-15,Pearson R,-0.6169716666037135
sub-16,Pearson R,-0.695262195206157
sub-17,Pearson R,-0.6856858453222238
sub-18,Pearson R,-0.6700690180066782
sub-19,Pearson R,-0.1169878408509773
sub-20,Pearson R,-0.4592515747916984
sub-21,Pearson R,-0.7681358474804103
sub-22,Pearson R,-0.6078059761004472
sub-23,Pearson R,-0.6147338672586433
sub-24,Pearson R,-0.5627825191107013
sub-25,Pearson R,-0.7468261516013993
sub-26,Pearson R,-0.5787157597372549
sub-27,Pearson R,-0.8123594613628239
sub-28,Pearson R,-0.7872162166226405
sub-29,Pearson R,-0.5109147732046413
sub-00,MSE,0.06911134231734709
sub-01,MSE,0.07775668020874621
sub-02,MSE,0.08968547694543534
sub-03,MSE,0.08611974005813185
sub-04,MSE,0.08077862828643151
sub-05,MSE,0.10570629376403753
sub-06,MSE,0.08668223180076629
sub-07,MSE,0.07345645065398337
sub-08,MSE,0.06426740652662175
sub-09,MSE,0.13585137567710398
sub-10,MSE,0.13869632712379443
sub-11,MSE,0.1444151307966706
sub-12,MSE,0.11438362894702074
sub-13,MSE,0.07225805918879641
sub-14,MSE,0.10254574580525827
sub-15,MSE,0.10530193057207028
sub-16,MSE,0.07649260140044921
sub-17,MSE,0.06561480215352095
sub-18,MSE,0.08481090632844498
sub-19,MSE,0.19138802186550405
sub-20,MSE,0.09745338717135685
sub-21,MSE,0.09497213139120096
sub-22,MSE,0.10795894437838552
sub-23,MSE,0.12289230743823493
sub-24,MSE,0.06885268034086406
sub-25,MSE,0.0707380433346545
sub-26,MSE,0.07623740751750561
sub-27,MSE,0.07652125445897744
sub-28,MSE,0.09598927368212445
sub-29,MSE,0.05323602028008984
