benchmark,occluder_type,metric,score,visibility
ImageNet-Occluded,oblique_bars_16,accuracy,0.4913882672634271,0.9
ImageNet-Occluded,vertical_bars_02,accuracy,0.0101502557544757,0.1
ImageNet-Occluded,vertical_bars_02,accuracy,0.0812819693094629,0.2
ImageNet-Occluded,vertical_bars_02,accuracy,0.1912364130434782,0.3
ImageNet-Occluded,vertical_bars_02,accuracy,0.3013067455090525,0.4
ImageNet-Occluded,vertical_bars_02,accuracy,0.3959079284192351,0.5
ImageNet-Occluded,vertical_bars_02,accuracy,0.4650775256669125,0.6
ImageNet-Occluded,vertical_bars_02,accuracy,0.5144741048898234,0.7
ImageNet-Occluded,vertical_bars_02,accuracy,0.5496563300147386,0.8
ImageNet-Occluded,vertical_bars_02,accuracy,0.5778013108026646,0.9
ImageNet-Occluded,vertical_bars_04,accuracy,0.0122722186710294,0.1
ImageNet-Occluded,vertical_bars_04,accuracy,0.0977741368400776,0.2
ImageNet-Occluded,vertical_bars_04,accuracy,0.2129076087413846,0.3
ImageNet-Occluded,vertical_bars_04,accuracy,0.3137228261022007,0.4
ImageNet-Occluded,vertical_bars_04,accuracy,0.3982017263579551,0.5
ImageNet-Occluded,vertical_bars_04,accuracy,0.4544197570180039,0.6
ImageNet-Occluded,vertical_bars_04,accuracy,0.507125159816059,0.7
ImageNet-Occluded,vertical_bars_04,accuracy,0.5400895140969845,0.8
ImageNet-Occluded,vertical_bars_04,accuracy,0.5677269820666984,0.9
ImageNet-Occluded,vertical_bars_08,accuracy,0.0081441815861541,0.1
ImageNet-Occluded,vertical_bars_08,accuracy,0.0596267583129732,0.2
ImageNet-Occluded,vertical_bars_08,accuracy,0.1451406649616368,0.3
ImageNet-Occluded,vertical_bars_08,accuracy,0.2639306266137096,0.4
ImageNet-Occluded,vertical_bars_08,accuracy,0.3694453324808184,0.5
ImageNet-Occluded,vertical_bars_08,accuracy,0.4247802110279308,0.6
ImageNet-Occluded,vertical_bars_08,accuracy,0.4741608056113543,0.7
ImageNet-Occluded,vertical_bars_08,accuracy,0.5138786764400999,0.8
ImageNet-Occluded,vertical_bars_08,accuracy,0.545160645871516,0.9
ImageNet-Occluded,vertical_bars_16,accuracy,0.0070052749365377,0.1
ImageNet-Occluded,vertical_bars_16,accuracy,0.0177229859335038,0.2
