benchmark,score,occluder_type,visibility,metric
ImageNet-Occluded,0.0124742040144545,empty_ellipses,0.6,accuracy
ImageNet-Occluded,0.0356672813697737,empty_ellipses,0.7,accuracy
ImageNet-Occluded,0.1004050647725864,empty_ellipses,0.8,accuracy
ImageNet-Occluded,0.2999592380864279,empty_ellipses,0.9,accuracy
ImageNet-Occluded,0.0017023097571669,filled_ellipses,0.1,accuracy
ImageNet-Occluded,0.0039784486918729,filled_ellipses,0.2,accuracy
ImageNet-Occluded,0.0123339430143942,filled_ellipses,0.3,accuracy
ImageNet-Occluded,0.0204818661001567,filled_ellipses,0.4,accuracy
ImageNet-Occluded,0.0414345278119554,filled_ellipses,0.5,accuracy
ImageNet-Occluded,0.0790406448804602,filled_ellipses,0.6,accuracy
ImageNet-Occluded,0.1436862997254546,filled_ellipses,0.7,accuracy
ImageNet-Occluded,0.2503854358682827,filled_ellipses,0.8,accuracy
ImageNet-Occluded,0.4183808844916674,filled_ellipses,0.9,accuracy
ImageNet-Occluded,0.0014548788265306,horizontal_bars_04,0.1,accuracy
ImageNet-Occluded,0.0024280570143339,horizontal_bars_04,0.2,accuracy
ImageNet-Occluded,0.0058443336082356,horizontal_bars_04,0.3,accuracy
ImageNet-Occluded,0.0151365307368794,horizontal_bars_04,0.4,accuracy
ImageNet-Occluded,0.0317768248520335,horizontal_bars_04,0.5,accuracy
ImageNet-Occluded,0.062873402572408,horizontal_bars_04,0.6,accuracy
ImageNet-Occluded,0.1176823617852464,horizontal_bars_04,0.7,accuracy
ImageNet-Occluded,0.2009906263983979,horizontal_bars_04,0.8,accuracy
ImageNet-Occluded,0.3511435973400972,horizontal_bars_04,0.9,accuracy
ImageNet-Occluded,0.0011799973530732,vertical_bars_04,0.1,accuracy
ImageNet-Occluded,0.0019779433021131,vertical_bars_04,0.2,accuracy
ImageNet-Occluded,0.0037152242979833,vertical_bars_04,0.3,accuracy
ImageNet-Occluded,0.0124501377838302,vertical_bars_04,0.4,accuracy
ImageNet-Occluded,0.0301775486037439,vertical_bars_04,0.5,accuracy
ImageNet-Occluded,0.0629027333794808,vertical_bars_04,0.6,accuracy
ImageNet-Occluded,0.1102737233955033,vertical_bars_04,0.7,accuracy
ImageNet-Occluded,0.1637248208328169,vertical_bars_04,0.8,accuracy
ImageNet-Occluded,0.2823017695728613,vertical_bars_04,0.9,accuracy
ImageNet-Occluded,0.0015785942918487,oblique_bars_04,0.1,accuracy
ImageNet-Occluded,0.0024156478632773,oblique_bars_04,0.2,accuracy
ImageNet-Occluded,0.0047199894122931,oblique_bars_04,0.3,accuracy
ImageNet-Occluded,0.0103691609348265,oblique_bars_04,0.4,accuracy
ImageNet-Occluded,0.0234893928376995,oblique_bars_04,0.5,accuracy
ImageNet-Occluded,0.0499791677052877,oblique_bars_04,0.6,accuracy
ImageNet-Occluded,0.0888055178279779,oblique_bars_04,0.7,accuracy
ImageNet-Occluded,0.1456713877162155,oblique_bars_04,0.8,accuracy
ImageNet-Occluded,0.2334484500544411,oblique_bars_04,0.9,accuracy
ImageNet-Occluded,0.0016383838326651,cardinal_crossed_bars,0.1,accuracy
ImageNet-Occluded,0.0014191555163385,cardinal_crossed_bars,0.2,accuracy
ImageNet-Occluded,0.0019331951530612,cardinal_crossed_bars,0.3,accuracy
ImageNet-Occluded,0.0020411171551261,cardinal_crossed_bars,0.4,accuracy
ImageNet-Occluded,0.0031496678878154,cardinal_crossed_bars,0.5,accuracy
ImageNet-Occluded,0.0068773013368553,cardinal_crossed_bars,0.6,accuracy
ImageNet-Occluded,0.023090795898924,cardinal_crossed_bars,0.7,accuracy
ImageNet-Occluded,0.0602746257672504,cardinal_crossed_bars,0.8,accuracy
ImageNet-Occluded,0.1282899288498625,cardinal_crossed_bars,0.9,accuracy
ImageNet-Occluded,0.0014748086734693,oblique_crossed_bars,0.1,accuracy
ImageNet-Occluded,0.0015387345979712,oblique_crossed_bars,0.2,accuracy
ImageNet-Occluded,0.0013635023592077,oblique_crossed_bars,0.3,accuracy
ImageNet-Occluded,0.0011758609693877,oblique_crossed_bars,0.4,accuracy
ImageNet-Occluded,0.0017662356816688,oblique_crossed_bars,0.5,accuracy
ImageNet-Occluded,0.005034730579628,oblique_crossed_bars,0.6,accuracy
ImageNet-Occluded,0.0125291051000964,oblique_crossed_bars,0.7,accuracy
ImageNet-Occluded,0.0416379627220484,oblique_crossed_bars,0.8,accuracy
ImageNet-Occluded,0.0827942247293433,oblique_crossed_bars,0.9,accuracy
ImageNet-Occluded,0.0010961415816326,mud_splash,0.1,accuracy
ImageNet-Occluded,0.0030417458857504,mud_splash,0.2,accuracy
ImageNet-Occluded,0.0050065279653181,mud_splash,0.3,accuracy
ImageNet-Occluded,0.0106474267204805,mud_splash,0.4,accuracy
ImageNet-Occluded,0.0159769686205046,mud_splash,0.5,accuracy
ImageNet-Occluded,0.0301034697616586,mud_splash,0.6,accuracy
ImageNet-Occluded,0.0533349026678776,mud_splash,0.7,accuracy
ImageNet-Occluded,0.1215795870034062,mud_splash,0.8,accuracy
ImageNet-Occluded,0.2710775054839192,mud_splash,0.9,accuracy
ImageNet-Occluded,0.0010762117346938,polkadot,0.1,accuracy
ImageNet-Occluded,0.001199927200012,polkadot,0.2,accuracy
ImageNet-Occluded,0.0012837829714526,polkadot,0.3,accuracy
ImageNet-Occluded,0.0015071476714647,polkadot,0.4,accuracy
ImageNet-Occluded,0.0023757881693998,polkadot,0.5,accuracy
ImageNet-Occluded,0.0036603232123413,polkadot,0.6,accuracy
ImageNet-Occluded,0.0144547795572755,polkadot,0.7,accuracy
ImageNet-Occluded,0.0534826844018332,polkadot,0.8,accuracy
ImageNet-Occluded,0.1590330339207941,polkadot,0.9,accuracy
ImageNet-Occluded,0.0009408391898079,polkasquare,0.1,accuracy
ImageNet-Occluded,0.0011799973530732,polkasquare,0.2,accuracy
ImageNet-Occluded,0.0013552295918367,polkasquare,0.3,accuracy
ImageNet-Occluded,0.0020727040816326,polkasquare,0.4,accuracy
ImageNet-Occluded,0.0038314190674193,polkasquare,0.5,accuracy
ImageNet-Occluded,0.0067569701837337,polkasquare,0.6,accuracy
ImageNet-Occluded,0.0175363851369035,polkasquare,0.7,accuracy
ImageNet-Occluded,0.0547822608175326,polkasquare,0.8,accuracy
ImageNet-Occluded,0.199770017241945,polkasquare,0.9,accuracy
ImageNet-Occluded,0.0018177524551141,horizontal_bars_02,0.1,accuracy
ImageNet-Occluded,0.0061233514653784,horizontal_bars_02,0.2,accuracy
ImageNet-Occluded,0.0199994133899406,horizontal_bars_02,0.3,accuracy
ImageNet-Occluded,0.0546070285597626,horizontal_bars_02,0.4,accuracy
ImageNet-Occluded,0.1106930022336998,horizontal_bars_02,0.5,accuracy
ImageNet-Occluded,0.1819726639256185,horizontal_bars_02,0.6,accuracy
ImageNet-Occluded,0.2557356594776621,horizontal_bars_02,0.7,accuracy
ImageNet-Occluded,0.3295761188682244,horizontal_bars_02,0.8,accuracy
ImageNet-Occluded,0.430016530411584,horizontal_bars_02,0.9,accuracy
ImageNet-Occluded,0.001415019132653,horizontal_bars_08,0.1,accuracy
ImageNet-Occluded,0.002320135012269,horizontal_bars_08,0.2,accuracy
ImageNet-Occluded,0.0037633567592319,horizontal_bars_08,0.3,accuracy
ImageNet-Occluded,0.0063384433980194,horizontal_bars_08,0.4,accuracy
ImageNet-Occluded,0.0124933817899044,horizontal_bars_08,0.5,accuracy
ImageNet-Occluded,0.025992280746601,horizontal_bars_08,0.6,accuracy
ImageNet-Occluded,0.0634897237225454,horizontal_bars_08,0.7,accuracy
ImageNet-Occluded,0.1605762808906788,horizontal_bars_08,0.8,accuracy
ImageNet-Occluded,0.2651173533225546,horizontal_bars_08,0.9,accuracy
ImageNet-Occluded,0.0014548788265306,horizontal_bars_16,0.1,accuracy
ImageNet-Occluded,0.0020610470020649,horizontal_bars_16,0.2,accuracy
ImageNet-Occluded,0.0028183811857384,horizontal_bars_16,0.3,accuracy
ImageNet-Occluded,0.0053611288265306,horizontal_bars_16,0.4,accuracy
ImageNet-Occluded,0.0138128880715491,horizontal_bars_16,0.5,accuracy
ImageNet-Occluded,0.0336694082207217,horizontal_bars_16,0.6,accuracy
ImageNet-Occluded,0.0595488785480966,horizontal_bars_16,0.7,accuracy
ImageNet-Occluded,0.0971151359227238,horizontal_bars_16,0.8,accuracy
ImageNet-Occluded,0.1862786387910648,horizontal_bars_16,0.9,accuracy
ImageNet-Occluded,0.0015785942918487,oblique_bars_02,0.1,accuracy
ImageNet-Occluded,0.0059680490735538,oblique_bars_02,0.2,accuracy
ImageNet-Occluded,0.0243881161001567,oblique_bars_02,0.3,accuracy
ImageNet-Occluded,0.0763726775743523,oblique_bars_02,0.4,accuracy
ImageNet-Occluded,0.1452193938347758,oblique_bars_02,0.5,accuracy
ImageNet-Occluded,0.223651614420268,oblique_bars_02,0.6,accuracy
ImageNet-Occluded,0.2968795123148937,oblique_bars_02,0.7,accuracy
ImageNet-Occluded,0.3400964457161572,oblique_bars_02,0.8,accuracy
ImageNet-Occluded,0.4102716926409274,oblique_bars_02,0.9,accuracy
ImageNet-Occluded,0.0011401376591957,oblique_bars_08,0.1,accuracy
ImageNet-Occluded,0.0011799973530732,oblique_bars_08,0.2,accuracy
ImageNet-Occluded,0.0020569106183794,oblique_bars_08,0.3,accuracy
ImageNet-Occluded,0.0030135432714406,oblique_bars_08,0.4,accuracy
ImageNet-Occluded,0.0052896822061465,oblique_bars_08,0.5,accuracy
ImageNet-Occluded,0.0103093713940102,oblique_bars_08,0.6,accuracy
ImageNet-Occluded,0.0253090254430259,oblique_bars_08,0.7,accuracy
ImageNet-Occluded,0.0718470982142857,oblique_bars_08,0.8,accuracy
ImageNet-Occluded,0.1813781526015729,oblique_bars_08,0.9,accuracy
ImageNet-Occluded,0.0011160714285714,oblique_bars_16,0.1,accuracy
ImageNet-Occluded,0.0013635023592077,oblique_bars_16,0.2,accuracy
ImageNet-Occluded,0.0016549293674072,oblique_bars_16,0.3,accuracy
ImageNet-Occluded,0.002105043079628,oblique_bars_16,0.4,accuracy
ImageNet-Occluded,0.0026190827163506,oblique_bars_16,0.5,accuracy
ImageNet-Occluded,0.0073473448960148,oblique_bars_16,0.6,accuracy
ImageNet-Occluded,0.0268251979533506,oblique_bars_16,0.7,accuracy
ImageNet-Occluded,0.0663863201530612,oblique_bars_16,0.8,accuracy
ImageNet-Occluded,0.1347065875116659,oblique_bars_16,0.9,accuracy
ImageNet-Occluded,0.0017778927612365,vertical_bars_02,0.1,accuracy
ImageNet-Occluded,0.0042698757000723,vertical_bars_02,0.2,accuracy
ImageNet-Occluded,0.0215355157472041,vertical_bars_02,0.3,accuracy
ImageNet-Occluded,0.0634242936360592,vertical_bars_02,0.4,accuracy
ImageNet-Occluded,0.1275036401894627,vertical_bars_02,0.5,accuracy
ImageNet-Occluded,0.2003336935019006,vertical_bars_02,0.6,accuracy
ImageNet-Occluded,0.2668339518868193,vertical_bars_02,0.7,accuracy
ImageNet-Occluded,0.3331319038965264,vertical_bars_02,0.8,accuracy
ImageNet-Occluded,0.4031405680033625,vertical_bars_02,0.9,accuracy
ImageNet-Occluded,0.0008851860326771,vertical_bars_08,0.1,accuracy
ImageNet-Occluded,0.0011002779653181,vertical_bars_08,0.2,accuracy
ImageNet-Occluded,0.0017545786021011,vertical_bars_08,0.3,accuracy
ImageNet-Occluded,0.0023957180163385,vertical_bars_08,0.4,accuracy
ImageNet-Occluded,0.0042142225429415,vertical_bars_08,0.5,accuracy
ImageNet-Occluded,0.0094441152082718,vertical_bars_08,0.6,accuracy
ImageNet-Occluded,0.0323066579139962,vertical_bars_08,0.7,accuracy
ImageNet-Occluded,0.0979788879654845,vertical_bars_08,0.8,accuracy
ImageNet-Occluded,0.1824603810602305,vertical_bars_08,0.9,accuracy
ImageNet-Occluded,0.0012954400510204,vertical_bars_16,0.1,accuracy
ImageNet-Occluded,0.0013352997448979,vertical_bars_16,0.2,accuracy
ImageNet-Occluded,0.0016026605224731,vertical_bars_16,0.3,accuracy
ImageNet-Occluded,0.0019174016898079,vertical_bars_16,0.4,accuracy
ImageNet-Occluded,0.0040265811531215,vertical_bars_16,0.5,accuracy
ImageNet-Occluded,0.0207533632614174,vertical_bars_16,0.6,accuracy
